spa,por,rom,fra,ita,lat
numeɾoso,<blank>,nɔ̃bʁø,nɔ̃bʁø,numerozo,nʊmɛroːsʊm
malefiko,mɐlɛfikʊ,malefik,malefik,malɛfiko,malɛfɪkʊm
asna,aʒnɐ,aːn,aːn,azina,asɪnʊm
laβil,labil,labil,labil,labile,laːbɪlɛm
obβjo,ɔbvjʊ,ɔbvi,ɔbvi,ɔvvio,ɔbwɪʊm
refoɾmaθjon,ʁefuɾəmɐsɐ̃ʊ̃,ʁefɔʁmasjɔ̃,ʁefɔʁmasjɔ̃,riformatsione,rɛfɔrmaːtɪoːnɛm
klaʊðikaɾ,<blank>,klodike,klodike,klaudikare,klaʊdɪkaːrɛ
pɾestixjo,pɹeʃtiʒjʊ,pʁɛstiʒ,pʁɛstiʒ,prestidʒo,praɪstɪɡɪʊm
pɾopaɣanda,pɹupɐɡɐ̃ŋdɐ,pʁopaɡɑ̃d,pʁopaɡɑ̃d,propaɡanda,proːpaːɡanda
faβɾika,fabɹikɐ,fabʁik,fabʁik,fabbrika,fabrɪkam
koliɾjo,kuliɾjʊ,kɔliʁ,kɔliʁ,kollirio,kɔllyrɪʊm
xaβon,sɐbɐ̃ʊ̃,savɔ̃,savɔ̃,sapone,saːpoːnɛm
ɡloɾjoso,ɡluɾiozʊ,ɡloʁjø,ɡloʁjø,ɡloriozo,ɡloːrɪoːsʊm
θeɾtamen,<blank>,<blank>,<blank>,tʃertame,kɛrtaːmɛn
kapon,kɐpɐ̃ʊ̃,ʃapɔ̃,ʃapɔ̃,kappone,kaːpoːnɛm
<blank>,<blank>,<blank>,<blank>,vizitatore,wiːsɪtaːtoːrɛm
fluβjal,fluviɑl,flyvjal,flyvjal,fluvjale,flʊwɪaːlɛm
afluɛnθja,ɐflweɪŋsjɐ,<blank>,<blank>,<blank>,afflʊɛntɪam
<blank>,abɐ,ob,ob,lapatssa,alapam
inokulaɾ,inukulaɹ,inokyle,inokyle,inokulare,ɪnɔkʊlaːrɛ
ramo,ʁɐ̃mʊ,ʁamo,ʁamo,ramo,raːmʊm
rito,ʁitʊ,ʁit,ʁit,rito,riːtʊm
<blank>ito,<blank>,<blank>e,<blank>e,<blank>etto,<blank>ɛttʊm
kompɾeso,kumpɹezʊ,kɔ̃pʁɛs,kɔ̃pʁɛs,komprɛsso,kɔmprɛssʊm
musika,muzikɐ,myzik,myzik,muzika,muːsɪkam
renoβaɾ,ʁenuvaɹ,ʁenove,ʁenove,rinovare,rɛnɔwaːrɛ
fluiɾ,fluiɹ,flye,flye,fluire,flʊɛrɛ
oβelisko,ɔbɨliʃkʊ,obelisk,obelisk,obelisko,ɔbɛlɪskʊm
respiɾaθjon,ʁeʃpiɾɐsɐ̃ʊ̃,ʁɛspiʁasjɔ̃,ʁɛspiʁasjɔ̃,respiratsione,reːspiːraːtɪoːnɛm
kompilaɾ,kumpilaɹ,kɔ̃pile,kɔ̃pile,kompilare,kɔmpiːlaːrɛ
tɾuθiðaɾ,tɹusidaɹ,tʁyside,tʁyside,trutʃidare,trʊkiːdaːrɛ
luθiʎo,<blank>,<blank>,<blank>,lotʃɛllo,lɔkɛllʊm
aθoɾ,ɐsoɹ,otuʁ,otuʁ,astore,astʊrɛm
eβoluθjon,evulusɐ̃ʊ̃,evolysjɔ̃,evolysjɔ̃,evolutsione,eːwɔluːtɪoːnɛm
oβstɾuiɾ,<blank>,ɔbstʁye,ɔbstʁye,<blank>,ɔbstrʊɛrɛ
inkɾiminaɾ,iŋkɹiminaɹ,ɛ̃kʁimine,ɛ̃kʁimine,inkriminare,ɪŋkriːmɪnaːrɛ
<blank>,<blank>,ʃaʁpɑ̃t,ʃaʁpɑ̃t,karpɛnto,karpɛntʊm
konsoliðaθjo,kuŋsulidɐsɐ̃ʊ̃,kɔ̃solidasjɔ̃,kɔ̃solidasjɔ̃,konsolidatsione,koːnsɔlɪdaːtɪoːnɛm
neɾβjoso,neɾəvozʊ,nɛʁvø,nɛʁvø,nervozo,nɛrwoːsʊm
esfeɾiko,ʃfɛɾikʊ,sfeʁik,sfeʁik,sfɛriko,spʰaɪrɪkʊm
<blank>,ɐdvɨɾəsɐ̃ʊ̃,<blank>,<blank>,<blank>,adwɛrsɪoːnɛm
pintoɾ,piŋtoɹ,<blank>,<blank>,pittore,pɪktoːrɛm
depɾimiɾ,dɨpɹimiɹ,depʁime,depʁime,deprimere,deːprɪmɛrɛ
kompɛndjo,kumpeɪŋdjʊ,kɔ̃pɑ̃djɔm,kɔ̃pɑ̃djɔm,kompendio,kɔmpɛndɪʊm
tundiɾ,tuzaɹ,tɔ̃dʁ,tɔ̃dʁ,tozare,tɔndeːrɛ
imposiβle,impusivɛl,ɛ̃pɔsibl,ɛ̃pɔsibl,impossibile,ɪmpɔssɪbɪlɛm
konsoɾθjo,kuŋsɔɾəsjʊ,kɔ̃sɔʁsjɔm,kɔ̃sɔʁsjɔm,konsɔrtsio,kɔnsɔrtɪʊm
kolmo,kolmʊ,<blank>,<blank>,kulmo,kʊlmʊm
<blank>,uɾedʊ,<blank>,<blank>,<blank>,uːreːdɪnɛm
estiɡma,ʃtiɡmɐ,stiɡmat,stiɡmat,stiɡma,stɪɡma
<blank>,<blank>,dispaʁɛtʁ,dispaʁɛtʁ,disparire,dɪspareːrɛ
koʎaðo,kɔlɨ,<blank>,<blank>,kolle,kɔllɛm
konkuriɾ,kuŋkuʁeɹ,kɔ̃kuʁiʁ,kɔ̃kuʁiʁ,konkɔrrere,kɔŋkʊrrɛrɛ
difiθil,difisil,difisil,difisil,diffitʃile,dɪffɪkɪlɛm
exe,aksɨ,ɛ,ɛ,asse,aksɛm
xenufleksjon,ʒenufleksioŋ,ʒenyflɛksjɔ̃,ʒenyflɛksjɔ̃,dʒenuflessione,ɡɛnʊflɛksɪoːnɛm
<blank>,pɹupɨliɹ,<blank>,<blank>,propɛllere,proːpɛllɛrɛ
beatifikaɾ,biɐtifikaɹ,beatifje,beatifje,beatifikare,bɛaːtɪfɪkaːrɛ
aðikθjon,ɐdisɐ̃ʊ̃,adiksjɔ̃,adiksjɔ̃,<blank>,addɪktɪoːnɛm
fɾemito,fɹemitʊ,<blank>,<blank>,frɛmito,frɛmɪtʊm
θiɾkunskɾiβiɾ,siɾəkũŋskɹɨveɹ,siʁkɔ̃skʁiʁ,siʁkɔ̃skʁiʁ,tʃirkoskrivere,kɪrkʊmskriːbeːrɛ
anatomia,ɐnɐtumiɐ,anatomi,anatomi,anatomia,anatɔmɪam
inmoɾtaliðad,imuɾətɐlidadɨ,immɔʁtalite,immɔʁtalite,immortalita,ɪmmɔrtaːlɪtaːtɛm
suβlime,sublimɨ,syblim,syblim,sublime,sʊbliːmɛm
malaθeɾ,<blank>,malfɛʁ,malfɛʁ,malfare,malɛfakɛrɛ
<blank>,<blank>,<blank>,<blank>,adjuvare,adɪʊwaːrɛ
remoθjon,<blank>,<blank>,<blank>,<blank>,rɛmoːtɪoːnɛm
<blank>,<blank>,<blank>,<blank>,ɡonorrɛa,ɡɔnɔrrhɔɪam
<blank>,ʁabulɐ,<blank>,<blank>,rabula,rabʊlam
beemɛnθja,viɨmeɪŋsjɐ,veemɑ̃s,veemɑ̃s,veemɛntsa,wɛhɛmɛntɪa
<blank>,ɐɡaɾikʊ,aɡaʁik,aɡaʁik,aɡariko,aɡarɪkʊm
aɾxila,ɐɾəʒilɐ,aʁʒil,aʁʒil,ardʒilla,arɡɪllam
eksposiθjon,eʃpuzisɐ̃ʊ̃,ɛkspozisjɔ̃,ɛkspozisjɔ̃,espozitsione,ɛkspɔsɪtɪoːnɛm
restaɾ,ʁɨʃtaɹ,ʁɛste,ʁɛste,restare,rɛstaːrɛ
<blank>,<blank>,evylɡe,evylɡe,<blank>,eːwʊlɡaːrɛ
retikulo,ʁetikulʊ,ʁetikylo,ʁetikylo,retikolo,reːtɪkʊlʊm
faβela,fɐbɛlɐ,<blank>,<blank>,favɛlla,faːbɛllam
seðukθjon,sedusɐ̃ʊ̃,sedyksjɔ̃,sedyksjɔ̃,sedutsione,seːdʊktɪoːnɛm
kolaɾ,kuaɹ,kule,kule,kolare,kɔlɛrɛ
kaljɛnte,kentɨ,<blank>,<blank>,<blank>,kalɛntɛm
roβin,ʁubiʒeɪŋ,ʁuj,ʁuj,<blank>,roːbiːɡɪnɛm
tɾaxikomeðja,tɹɐʒikumɛdjɐ,tʁaʒikomedi,tʁaʒikomedi,tradʒikommɛdia,traɡɪkoːmɔɪdɪam
<blank>,<blank>,aleʃe,aleʃe,allettare,allɛktaːrɛ
feɾmentaθjon,feɾəmeɪŋtɐsɐ̃ʊ̃,fɛʁmɑ̃tasjɔ̃,fɛʁmɑ̃tasjɔ̃,fermentatsione,fɛrmɛntaːtɪoːnɛm
<blank>,<blank>,<blank>,<blank>,kontɔrto,kɔntɔrtʊm
aβsuɾðo,ɐbsuɾədʊ,absyʁd,absyʁd,assurdo,absʊrdʊm
<blank>,<blank>,<blank>,<blank>,lukulɛnto,luːkʊlɛntʊm
eksoɾθismo,ezuɾəsiʒmʊ,ɛɡzɔʁsism,ɛɡzɔʁsism,ezortʃizmo,ɛksɔrkɪsmʊm
pɾeðestinaθjon,pɹedɨʃtinɐsɐ̃ʊ̃,pʁedɛstinasjɔ̃,pʁedɛstinasjɔ̃,predestinatsione,praɪdɛstɪnaːtɪoːnɛm
<blank>,<blank>,disimylasjɔ̃,disimylasjɔ̃,dissimulatsione,dɪssɪmʊlaːtɪoːnɛm
kasa,kazɐ,ʃe,ʃe,kaza,kasam
tɾiplo,tɹiplʊ,tʁipl,tʁipl,triplo,trɪplʊm
liβaθjon,libɐsɐ̃ʊ̃,libasjɔ̃,libasjɔ̃,libadʒone,liːbaːtɪoːnɛm
<blank>,<blank>,kolɔ̃b,kolɔ̃b,kolomba,kɔlʊmbam
sakɾistan,sɐkɹiʃtɐ̃ʊ̃,sakʁistɛ̃,sakʁistɛ̃,sakrestano,sakrɪstaːnʊm
instɾumental,<blank>,ɛ̃stʁymɑ̃tal,ɛ̃stʁymɑ̃tal,<blank>,iːnstruːmɛntaːlɛm
<blank>,ɐseɪŋdeɹ,<blank>,<blank>,atʃʃɛndere,akkɛndɛrɛ
emanaθjon,emɐnɐsɐ̃ʊ̃,emanasjɔ̃,emanasjɔ̃,emanatsione,eːmaːnaːtɪoːnɛm
alambɾe,ɐɾɐ̃mɨ,ɛʁɛ̃,ɛʁɛ̃,rame,aɪraːmɛn
<blank>,<blank>,<blank>,<blank>,oppilatsione,ɔppiːlaːtɪoːnɛm
insumiɾ,<blank>,<blank>,<blank>,<blank>,iːnsuːmɛrɛ
kaβeɾ,kɐbeɹ,<blank>,<blank>,kapire,kapɛrɛ
aʊstɾal,aʊʃtɹɑl,ostʁal,ostʁal,australe,aʊstraːlɛm
ɡaβeta,ɡɐvetɐ,ʒat,ʒat,ɡavetta,ɡabatam
<blank>,<blank>,<blank>,<blank>,triklinio,trɪkliːnɪʊm
inundaθjon,inũŋdɐsɐ̃ʊ̃,<blank>,<blank>,<blank>,ɪnʊndaːtɪoːnɛm
saβaðo,sabɐdʊ,samdi,samdi,sabato,sabbatiː
astɾonomia,ɐʃtɹunumiɐ,astʁonomi,astʁonomi,astronomia,astrɔnɔmɪam
aðesjon,ɐdɨzɐ̃ʊ̃,adezjɔ̃,adezjɔ̃,adezione,adhaɪsɪoːnɛm
<blank>,koŋsiʊ,<blank>,<blank>,kɔnʃo,koːnskɪʊm
relox,ʁelɔʒjʊ,ɔʁlɔʒ,ɔʁlɔʒ,orolodʒo,hoːrɔlɔɡɪʊm
insaθjaβle,iŋsɐsiavɛl,ɛ̃sasjabl,ɛ̃sasjabl,insatsjabile,iːnsatɪaːbɪlɛm
asθendɛnte,ɐseɪŋdeɪŋtɨ,asɑ̃dɑ̃,asɑ̃dɑ̃,aʃendɛnte,askɛndɛntɛm
poʎeɾo,puleɪɾʊ,<blank>,<blank>,pollario,pʊllaːrɪʊm
aʊɣusto,aʊɡuʃtʊ,oɡyst,oɡyst,aɡosto,aʊɡʊstʊm
blando,bɹɐ̃ŋdʊ,<blank>,<blank>,blando,blandʊm
<blank>,ʃpɔljʊ,<blank>,<blank>,spɔʎo,spɔlɪʊm
iðea,idɛɪɐ,ide,ide,idɛa,ɪdɛam
moxaɾ,muʎaɹ,muje,muje,mollire,mɔlliːrɛ
kɾesta,kɹiʃtɐ,kʁɛt,kʁɛt,kresta,krɪstam
peðiθelo,pedisɛlʊ,pedisɛl,pedisɛl,peditʃɛllo,pɛdiːkɛllʊm
kalifa,kɐlifɐ,kalif,kalif,kaliffo,kaliːpʰam
ʎaβe,ʃavɨ,kle,kle,kjave,klaːwɪm
distiŋɡiɾ,diʃtiŋɡwiɹ,distɛ̃ɡe,distɛ̃ɡe,distiŋɡwere,dɪstɪŋɡwɛrɛ
seɾeniðad,seɾɨnidadɨ,seʁenite,seʁenite,serenita,sɛreːnɪtaːtɛm
oβliɣaθjon,ɔbɹiɡɐsɐ̃ʊ̃,ɔbliɡasjɔ̃,ɔbliɡasjɔ̃,obbliɡatsione,ɔblɪɡaːtɪoːnɛm
reflexaɾ,ʁeflɨtiɹ,ʁefleʃiʁ,ʁefleʃiʁ,riflettere,rɛflɛktɛrɛ
aʊɣuɾjo,<blank>,oɡyʁ,oɡyʁ,auɡurio,aʊɡʊrɪʊm
ekskɾetaɾ,eskɹɨtaɹ,ɛkskʁete,ɛkskʁete,<blank>,ɛkskɛrnɛrɛ
inteɾsekθjon,iŋtɨɾəsɨsɐ̃ʊ̃,ɛ̃tɛʁsɛksjɔ̃,ɛ̃tɛʁsɛksjɔ̃,intersetsione,ɪntɛrsɛktɪoːnɛm
<blank>,pɹusɛlɐ,pʁosɛl,pʁosɛl,protʃɛlla,prɔkɛllam
liβɾo,livɹʊ,livʁ,livʁ,libro,liːbɛrʊm
ɡloɾjosisimo,<blank>,<blank>,<blank>,ɡloriozissimo,ɡloːrɪoːsɪssɪmʊm
aɾkano,ɐɾəkɐ̃nʊ,aʁkan,aʁkan,arkano,arkanʊm
<blank>,<blank>,<blank>,<blank>,dʒurativo,juːraːtiːwʊm
apaɾato,<blank>,apaʁa,apaʁa,appaɾato,apparaːtʊm
bindikta,viŋditɐ,vɛ̃dikt,vɛ̃dikt,vendetta,wɪndɪktam
retiθɛnθja,ʁetiseɪŋsjɐ,ʁetisɑ̃s,ʁetisɑ̃s,retitʃɛntsa,rɛtɪkɛntɪam
amplifikaðoɾ,ɐ̃mplifikɐdoɹ,ɑ̃plifikatœʁ,ɑ̃plifikatœʁ,amplifikatore,amplɪfɪkaːtɔrɛm
<blank>,estɹikaɹ,<blank>,<blank>,striɡare,ɛkstriːkaːrɛ
diβiðiɾ,dividiɹ,divize,divize,dividere,diːwɪdɛrɛ
eksposiθjon,eʃpuzisɐ̃ʊ̃,ɛkspozisjɔ̃,ɛkspozisjɔ̃,espozitsione,ɛkspɔsɪtɪoːnɛm
pelo,pelʊ,pwal,pwal,pelo,pɪlʊm
peɾðiθ,pɨɾədiʃ,pɛʁdʁi,pɛʁdʁi,<blank>,pɛrdiːkɛm
<blank>,<blank>,pʁeʒydis,pʁeʒydis,<blank>,praɪjuːdɪkɪʊm
<blank>,<blank>,<blank>,<blank>,verbasko,wɛrbaskʊm
lieβɾe,lɛbɹɨ,ljɛvʁ,ljɛvʁ,lɛpre,lɛpɔrɛm
paɣanismo,pɐɡɐniʒmʊ,paɡanism,paɡanism,<blank>,paːɡaːnɪsmʊm
bitupeɾaɾe,vitupɨɾaɾɨ,vitypeʁe,vitypeʁe,vituperare,wɪtʊpɛraːrɛ
<blank>,<blank>,<blank>,<blank>,pitsio,pytʰɪʊm
komfekθjon,kuŋfeɪsɐ̃ʊ̃,kɔ̃fɛksjɔ̃,kɔ̃fɛksjɔ̃,konfetsione,koːnfɛktɪoːnɛm
pɾemeðitaɾ,pɹemɨditaɹ,pʁemdite,pʁemdite,premeditare,praɪmɛdɪtaːriː
<blank>,flɐ̃minɨ,<blank>,<blank>,<blank>,flaːmɪnɛm
<blank>,kɹɐtɛɾɐ,<blank>,<blank>,<blank>,kraːteːram
θiɾkunspekto,siɾəkũŋspɛtʊ,siʁkɔ̃spɛkt,siʁkɔ̃spɛkt,tʃirkospetto,kɪrkʊmspɛktʊm
dispensaɾ,<blank>,depɑ̃se,depɑ̃se,dispensare,dɪspeːnsaːrɛ
baɾβa,baɾəbɐ,baʁb,baʁb,barba,barbam
plekso,plɛksʊ,plɛks,plɛks,plɛsso,plɛksʊm
<blank>,<blank>,<blank>,<blank>,<blank>,ɪntɔrkweːrɛ
<blank>,ɐseɪdadɨ,<blank>,<blank>,azeita,aseːɪtaːtɛm
kanuðo,<blank>,ʃəny,ʃəny,kanuto,kaːnuːtʊm
ruiɾ,ʁuiɹ,ʁye,ʁye,<blank>,rʊɛrɛ
axitaɾ,ɐʒitaɹ,aʒite,aʒite,adʒitare,aɡɪtaːrɛ
letɾa,letɹɐ,lɛtʁ,lɛtʁ,lɛttera,lɪttɛram
paθifikaðoɾ,pɐsifikɐtoɹ,pasifikatœʁ,pasifikatœʁ,patʃifikatore,paːkɪfɪkaːtoːrɛm
bondad,buŋdadɨ,bɔ̃te,bɔ̃te,bonta,bɔnɪtaːtɛm
fulkɾo,fuwkɹʊ,fylkʁɔm,fylkʁɔm,fulkro,fʊlkrʊm
eksaʊɾiɾ,ezaʊɾiɹ,<blank>,<blank>,ezaurire,ɛkshaʊriːrɛ
sakɾifikaɾ,sɐkɹifikaɹ,sakʁifje,sakʁifje,sakrifikare,sakrɪfɪkaːrɛ
obtuɾaɾ,ɔbtuɾaɹ,ɔbtyʁe,ɔbtyʁe,otturare,ɔbtuːraːrɛ
paɾ,paɹ,paʁ,paʁ,paio,parɛm
oskuɾiðad,ɔbskuɾidadɨ,ɔbskyʁite,ɔbskyʁite,oskurita,ɔbskuːrɪtaːtɛm
distoɾsjon,diʃtuɾəsɐ̃ʊ̃,distɔʁsjɔ̃,distɔʁsjɔ̃,distorsione,dɪstɔrtɪoːnɛm
solβɛnte,sulveɪŋtɨ,sɔlvɑ̃,sɔlvɑ̃,solvɛnte,sɔlwɛntɛm
swiθiðjo,suɪsidjʊ,syisid,syisid,suitʃidio,sʊiːkiːdɪʊm
boleto,<blank>,bolɛ,bolɛ,boleto,boːleːtʊm
konspiɾaθjon,kuŋspiɾɐsɐ̃ʊ̃,kɔ̃spiʁasjɔ̃,kɔ̃spiʁasjɔ̃,kospiratsione,kɔnspiːraːtɪoːnɛm
soθjeðad,susiɨdadɨ,sosjete,sosjete,sotʃeta,sɔkɪɛtaːtɛm
sweɣɾo,soɡɹʊ,<blank>,<blank>,suɔːtʃero,sɔkɛrʊm
seɾpol,sɨɾəpɔl,sɛʁpolɛ,sɛʁpolɛ,sermɔllo,sɛrpyllʊm
